time, language, total, test, comment
1682791321 +0200, Java, 0, 0, 0
1682837424 +0200, Java, 0, 0, 0
1682842078 +0200, Java, 0, 0, 0
1682879346 +0200, Java, 0, 0, 0
1682918401 +0200, Java, 0, 0, 0
1682918995 +0200, Java, 0, 0, 0
1682931485 +0200, Java, 0, 0, 0
1682942564 +0200, Java, 0, 0, 0
1682943682 +0200, Java, 0, 0, 0
1682959593 +0200, Java, 0, 0, 0
1682959943 +0200, Java, 0, 0, 0
1683035855 +0200, Java, 0, 0, 0
1683039186 +0200, Java, 0, 0, 0
1683042818 +0200, Java, 0, 0, 0
1683043116 +0200, Java, 0, 0, 0
1683044596 +0200, Java, 0, 0, 0
1683044815 +0200, Java, 0, 0, 0
1683044959 +0200, Java, 0, 0, 0
1683047442 +0200, Java, 0, 0, 0
1683125690 +0200, Java, 0, 0, 0
1683133415 +0200, Java, 0, 0, 0
1683225630 +0200, Java, 0, 0, 0
1683226509 +0200, Java, 0, 0, 0
1683283961 +0200, Java, 0, 0, 0
1683308844 +0200, Java, 0, 0, 0
1683314755 +0200, Java, 0, 0, 0
1683361711 +0200, Java, 0, 0, 0
1683361785 +0200, Java, 0, 0, 0
1683362277 +0200, Java, 0, 0, 0
1683362401 +0200, Java, 0, 0, 0
1683363656 +0200, Java, 0, 0, 0
1683377358 +0200, Java, 0, 0, 0
1683377566 +0200, Java, 0, 0, 0
1683458191 +0200, Java, 0, 0, 0
1683737713 +0200, Java, 0, 0, 0
1683738643 +0200, Java, 0, 0, 0
1683738693 +0200, Java, 0, 0, 0
1683739862 +0200, Java, 0, 0, 0
1683740685 +0200, Java, 0, 0, 0
1683918258 +0200, Java, 0, 0, 0
1683918258 +0200, Java, 0, 0, 0
1683918804 +0200, Java, 0, 0, 0
1683967425 +0200, Java, 0, 0, 0
1683977912 +0200, Java, 0, 0, 0
1683980844 +0200, Java, 0, 0, 0
1683996350 +0200, Java, 0, 0, 0
1684053607 +0200, Java, 0, 0, 0
1684075808 +0200, Java, 0, 0, 0
1684157781 +0200, Java, 0, 0, 0
1684158602 +0200, Java, 0, 0, 0
